,variable,ratio
0,Genotype,1.0
1,airpoll_24006,0.9209005650375721
2,airpoll_24007,0.9209005650375721
3,alanine_aminotransferase_f30620,0.9528047999067979
4,answered_sexual_history_questions_f2129,0.9990912797809751
5,aspartate_aminotransferase_f30650,0.9498339838061397
6,carer_support_indicators_f41214,0.8477427622764606
7,creactive_protein_f30710,0.9510339605056213
8,diabetes_diagnosed_by_doctor_f2443,0.999085454651366
9,difference_in_mobile_phone_use_compared_to_two_years_previously_f1140,0.7926486864332731
10,drive_faster_than_motorway_speed_limit_f1100,0.9990679792625385
11,eid,1.0
12,forced_expiratory_volume_in_1second_fev1_best_measure_f20150,0.6753888274014097
13,frequency_of_solariumsunlamp_use_f2277,0.9980252810625037
14,frequency_of_tenseness_restlessness_in_last_2_weeks_f2070,0.9990912797809751
15,glycated_haemoglobin_hba1c_f30750,0.9500262130832411
16,hand_grip_strength_left_f46,0.9950486398322362
17,history_of_psychiatric_care_on_admission_f41218,0.8477369371468515
18,mean_corpuscular_volume_f30040,0.9700763091978797
19,mean_time_to_correctly_identify_matches_f20023,0.9884312925962603
20,met_minutes_per_week_for_walking_f22037,0.7871031630453778
21,neutrophill_count_f30140,0.9680782897419468
22,never_eat_eggs_dairy_wheat_sugar_f6144,0.9980252810625037
23,nitrogen_dioxide_air_pollution_2006_f24017,0.9879536319683113
24,nitrogen_oxides_air_pollution_2010_f24004,0.9879536319683113
25,number_of_treatmentsmedications_taken_f137,0.9997669948156347
26,overall_health_rating_f2178,0.9990912797809751
27,parental_ad_status,1.0
28,particulate_matter_air_pollution_2510um_2010_f24008,0.9209005650375721
29,particulate_matter_air_pollution_pm10_2007_f24019,0.985763383235277
30,particulate_matter_air_pollution_pm10_2010_f24005,0.9209005650375721
31,particulate_matter_air_pollution_pm25_2010_f24006,0.9209005650375721
32,particulate_matter_air_pollution_pm25_absorbance_2010_f24007,0.9209005650375721
33,qualifications_f6138,0.9980311061921128
34,rounded_matches_f20023,0.9884312925962603
35,sex_f31,1.0
36,sleeplessness_insomnia_f1200,0.9990971049105842
37,tea_intake_f1488,0.9990912797809751
38,time_spent_driving_f1090,0.9990679792625385
39,traffic_intensity_on_the_nearest_major_road_f24011,0.9879536319683113
40,uk_east_coord,0.9176035416788023
41,uk_north_coord,0.9176035416788023
42,urea_f30670,0.9522455874643211
43,usual_walking_pace_f924,0.9949962136657541
44,water_intake_f1528,0.9990912797809751
45,n_eid,1.0
46,Age_Today,1.0
47,AD,1.0
48,PD,1.0
49,Diag_Date_AD,0.00943670996679676
50,years_bef_diagAD,0.00943670996679676
51,Age_Diag_AD,1.0
52,date_of_attending_assessment_centre_f53,1.0
53,age_when_attended_assessment_centre_f21003,1.0
54,EPIL,1.0
55,DIAB,1.0
56,CELIAC,1.0
57,CERVASC,1.0
58,CERVASC_bef,1.0
59,CERVASCALL_bef,1.0
60,EPIL_bef,1.0
61,DIAB_bef,1.0
62,risk_score,1.0
63,mean_score_mod,1.0
64,std_score_mod,1.0
65,APOE,1.0
66,alan_aspar_rat,0.94963010426982
67,risk_score_norm,1.0
68,risk_score_norm_mod,1.0
69,Age_Today_Rd,1.0
70,Age_Diag_Rd,1.0
71,Risk_Group,1.0
72,risk_score_index,1.0
73,risk_score_index_mod,1.0
